Wall time,Step,Value
1580098812.6325378,538500,0.00019307971524540335
1580099374.1317122,540500,0.00019132081069983542
1580099430.2740314,540700,0.00019114490714855492
1580099823.365712,542100,0.0001899136696010828
1580099963.818556,542600,0.000189473939826712
1580100357.1030428,544000,0.0001882427022792399
1580100385.2015746,544100,0.00018815475050359964
1580100441.3793151,544300,0.00018797886150423437
1580100581.7973332,544800,0.00018753913172986358
1580101368.5498345,547600,0.00018507665663491935
1580101621.4913204,548500,0.0001842851343099028
1580101818.131405,549200,0.00018366951553616673
1580101930.577584,549600,0.0001833177375374362
1580102099.1900609,550200,0.00018279005598742515
1580102267.8892796,550800,0.00018226238898932934
1580102408.429697,551300,0.00018182265921495855
1580102492.7695482,551600,0.00018155881843995303
1580102548.9220989,551800,0.00018138292944058776
1580102970.558431,553300,0.0001800637401174754
1580103223.480045,554200,0.00017927223234437406
1580103448.434002,555000,0.00017856866179499775
